"[('Çarşamba', 10), ('Çarşamba', 11)]","[('Çarşamba', 13), ('Çarşamba', 14)]",Garbage
141201063,121201068.0,141201079.0
151201002,151201061.0,141201047.0
161201039,141201023.0,151201054.0
151201012,151201046.0,111201057.0
151201006,151201051.0,151201039.0
161201076,131201059.0,161201064.0
131201039,171204002.0,151201005.0
141201006,161220003.0,161201018.0
161201056,141201073.0,141201050.0
151201014,151201069.0,141201052.0
151201013,141201069.0,121201079.0
131201037,151201041.0,151201018.0
161201009,151201040.0,141201049.0
151201042,161201049.0,
171204081,141201017.0,
131201052,151201077.0,
161201020,161201015.0,
161201007,161201022.0,
161201070,151201043.0,
141201043,151201025.0,
151201044,141201076.0,
151201028,151201027.0,
151201056,161201006.0,
141201025,151201045.0,
141201064,151201017.0,
181204004,161201017.0,
131201064,151201007.0,
141201030,161220006.0,
161101038,141201072.0,
151201004,131201068.0,
151201036,151201033.0,
141201008,151201023.0,
161201014,161201050.0,
141201053,151201009.0,
121201052,161201026.0,
161201061,151201003.0,
141201033,131201006.0,
151201016,131201067.0,
131201054,141201026.0,
121201073,131201029.0,
161201019,161201013.0,
151201011,151201063.0,
131201055,151201062.0,
141201060,151201050.0,
161201035,111201033.0,
131201043,131201077.0,
141201010,131201025.0,
141201045,131201041.0,
141201044,151204001.0,
141201077,121201038.0,
121201058,131201013.0,
121201080,141201055.0,
141201058,101201039.0,
141101042,121201056.0,
131201049,121201066.0,
131201035,,
