"[('Çarşamba', 14), ('Çarşamba', 15)]","[('Çarşamba', 12), ('Çarşamba', 13)]",Garbage
141101040,151101037,
151101063,161120007,
161101032,141101041,
152401028,161101017,
171101056,141101075,
131101045,161201076,
161101039,151101008,
161101021,151101032,
171104001,161101061,
171101015,141101064,
151101080,161101057,
101101038,131101040,
161101034,161101043,
141101046,171101024,
161101006,161101010,
151101041,141101029,
131101029,171101039,
161101045,141101027,
171101061,151101046,
161101040,171101060,
161101013,121101062,
141101037,171101001,
121101060,131101069,
121101040,161101018,
151101068,171101010,
151101003,171101030,
161101009,161101035,
131101004,151101061,
141201001,,
